usar,otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,individualCount,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,scientificNameAuthorship,vernacularName,taxonRemarks,identifiedBy,geodeticDatum,decimalLatitude,decimalLongitude,continent,countryCode,country,stateProvince,waterBody,eventDate,locality,recordedBy,samplingProtocol,associatedSequences,agua
TRUE,,5767,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Arrasto,,Clear
TRUE,,5909,UFAM,CTGA,1,,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5910,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
TRUE,,5911,UFAM,CTGA,1,,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.80822,-49.67135,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Tucurui cty",Valeria Machado,Malhadeira,,Clear
TRUE,,1050353,UFPA,,1,PreservedSpecimen,Other material,"Myloplus asterias, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,,"Muller & Troschel, 1844",Pacu,,"Andrade, M.",WGS84,-6.567,-51.0325,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,Rede de arrasto,,Clear
TRUE,,1050355,UFPA,,1,PreservedSpecimen,Other material,"Myloplus asterias, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,,"Muller & Troschel, 1844",Pacu,,"Andrade, M.",WGS84,-6.567,-51.0325,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,Rede de arrasto,,Clear
TRUE,,1050356,UFPA,,1,PreservedSpecimen,Other material,"Myloplus asterias, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,,"Muller & Troschel, 1844",Pacu,,"Andrade, M.",WGS84,-6.567,-51.0325,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,Rede de arrasto,,Clear
TRUE,,1050357,UFPA,,1,PreservedSpecimen,Other material,"Myloplus asterias, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,,"Muller & Troschel, 1844",Pacu,,"Andrade, M.",WGS84,-6.567,-51.0325,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,Rede de arrasto,,Clear
TRUE,,1050360,UFPA,,1,PreservedSpecimen,Other material,"Myloplus asterias, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,,"Muller & Troschel, 1844",Pacu,,"Andrade, M.",WGS84,-5.88555,-50.5319,South America,BR,Brazil,Para,Tocantins,,"Brasil, Pará, Parauapebas, Rio Itacaiúnas, Caldeirão",Marcelo Andrade,Rede de arrasto,,Clear
TRUE,,5775,UFAM,CTGA,1,,Other material,"Metynnis cuiaba, Pavanelli, Ota & Petry, 2009",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Metynnis,cuiaba,species,,"Pavanelli, Ota & Petry, 2009",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Malhadeira,,Clear
